2020-02-08 22:29:55,550 |    pack.madgraph.run |   INFO | b'INFO: Process c~ c > s s~ added to mirror process c c~ > s s~'
2020-02-08 22:29:55,553 |    pack.madgraph.run |   INFO | b'INFO: Process c~ d > d c~ added to mirror process d c~ > d c~'
2020-02-08 22:29:55,556 |    pack.madgraph.run |   INFO | b'INFO: Process c~ s > s c~ added to mirror process s c~ > s c~'
2020-02-08 22:29:55,560 |    pack.madgraph.run |   INFO | b'INFO: Process c~ u~ > u~ c~ added to mirror process u~ c~ > u~ c~'
2020-02-08 22:29:55,564 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for c~ c~ > c~ c~, reuse diagrams.'
2020-02-08 22:29:55,568 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for c~ d~ > c~ d~, reuse diagrams.'
2020-02-08 22:29:55,571 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for c~ s~ > c~ s~, reuse diagrams.'
2020-02-08 22:29:55,572 |    pack.madgraph.run |   INFO | b'INFO: Process d~ g > g d~ added to mirror process g d~ > g d~'
2020-02-08 22:29:55,575 |    pack.madgraph.run |   INFO | b'INFO: Process d~ u > u d~ added to mirror process u d~ > u d~'
2020-02-08 22:29:55,579 |    pack.madgraph.run |   INFO | b'INFO: Process d~ c > c d~ added to mirror process c d~ > c d~'
2020-02-08 22:29:55,581 |    pack.madgraph.run |   INFO | b'INFO: Process d~ d > g g added to mirror process d d~ > g g'
2020-02-08 22:29:55,605 |    pack.madgraph.run |   INFO | b'INFO: Process d~ d > u u~ added to mirror process d d~ > u u~'
2020-02-08 22:29:55,612 |    pack.madgraph.run |   INFO | b'INFO: Process d~ d > c c~ added to mirror process d d~ > c c~'
2020-02-08 22:29:55,613 |    pack.madgraph.run |   INFO | b'INFO: Process d~ d > d d~ added to mirror process d d~ > d d~'
2020-02-08 22:29:55,613 |    pack.madgraph.run |   INFO | b'INFO: Process d~ d > s s~ added to mirror process d d~ > s s~'
2020-02-08 22:29:55,614 |    pack.madgraph.run |   INFO | b'INFO: Process d~ s > s d~ added to mirror process s d~ > s d~'
2020-02-08 22:29:55,614 |    pack.madgraph.run |   INFO | b'INFO: Process d~ u~ > u~ d~ added to mirror process u~ d~ > u~ d~'
2020-02-08 22:29:55,614 |    pack.madgraph.run |   INFO | b'INFO: Process d~ c~ > c~ d~ added to mirror process c~ d~ > c~ d~'
2020-02-08 22:29:55,615 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for d~ d~ > d~ d~, reuse diagrams.'
2020-02-08 22:29:55,615 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for d~ s~ > d~ s~, reuse diagrams.'
2020-02-08 22:29:55,615 |    pack.madgraph.run |   INFO | b'INFO: Process s~ g > g s~ added to mirror process g s~ > g s~'
2020-02-08 22:29:55,615 |    pack.madgraph.run |   INFO | b'INFO: Process s~ u > u s~ added to mirror process u s~ > u s~'
2020-02-08 22:29:55,616 |    pack.madgraph.run |   INFO | b'INFO: Process s~ c > c s~ added to mirror process c s~ > c s~'
2020-02-08 22:29:55,616 |    pack.madgraph.run |   INFO | b'INFO: Process s~ d > d s~ added to mirror process d s~ > d s~'
2020-02-08 22:29:55,616 |    pack.madgraph.run |   INFO | b'INFO: Process s~ s > g g added to mirror process s s~ > g g'
2020-02-08 22:29:55,617 |    pack.madgraph.run |   INFO | b'INFO: Process s~ s > u u~ added to mirror process s s~ > u u~'
2020-02-08 22:29:55,617 |    pack.madgraph.run |   INFO | b'INFO: Process s~ s > c c~ added to mirror process s s~ > c c~'
2020-02-08 22:29:55,618 |    pack.madgraph.run |   INFO | b'INFO: Process s~ s > d d~ added to mirror process s s~ > d d~'
2020-02-08 22:29:55,619 |    pack.madgraph.run |   INFO | b'INFO: Process s~ s > s s~ added to mirror process s s~ > s s~'
2020-02-08 22:29:55,622 |    pack.madgraph.run |   INFO | b'INFO: Process s~ u~ > u~ s~ added to mirror process u~ s~ > u~ s~'
2020-02-08 22:29:55,625 |    pack.madgraph.run |   INFO | b'INFO: Process s~ c~ > c~ s~ added to mirror process c~ s~ > c~ s~'
2020-02-08 22:29:55,628 |    pack.madgraph.run |   INFO | b'INFO: Process s~ d~ > d~ s~ added to mirror process d~ s~ > d~ s~'
2020-02-08 22:29:55,631 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for s~ s~ > s~ s~, reuse diagrams.'
2020-02-08 22:29:55,729 |    pack.madgraph.run |   INFO | b'65 processes with 112 diagrams generated in 0.519 s'
2020-02-08 22:29:55,729 |    pack.madgraph.run |   INFO | b'Total: 65 processes with 112 diagrams'
2020-02-08 22:29:55,729 |    pack.madgraph.run |   INFO | b'launchoutput output'
2020-02-08 22:29:55,730 |    pack.madgraph.run |   INFO | b'\x1b[1;34mCommand "launchoutput" not recognized, please try again\x1b[0m'
2020-02-08 22:29:55,730 |    pack.madgraph.run |   INFO | b'launch'
2020-02-08 22:29:55,730 |    pack.madgraph.run |   INFO | b'\x1b[1;34moutput command missing, run it automatically (with default argument)\x1b[0m'
2020-02-08 22:29:55,730 |    pack.madgraph.run |   INFO | b'INFO: initialize a new directory: PROC_sm_0'
2020-02-08 22:29:55,758 |    pack.madgraph.run |   INFO | b'INFO: remove old information in PROC_sm_0'
2020-02-08 22:29:55,810 |    pack.madgraph.run |   INFO | b'INFO: Organizing processes into subprocess groups'
2020-02-08 22:29:55,815 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: g g > g g WEIGHTED<=2 @1'
2020-02-08 22:29:55,829 |    pack.madgraph.run |   INFO | b'INFO: Processing color information for process: g g > g g @1'
